"name","B"
"Ben Anderson","R"
"Andy Archer","R"
"Ashton Bardzell","R"
"Trey Benton","R"
"Caleb Bolden","R"
"Spencer Brickhouse","L"
"Daniel Cabrera","L"
"Hunter Coleman","R"
"Jared DiCesare","R"
"Danny DiGeorgio","R"
"Tyler Fitzgerald","R"
"Jake Garella","R"
"Bryan Hoeing","R"
"Greer Holston","R"
"Gabe Holt","L"
"Spencer Horwitz","L"
"Cooper Johnson","R"
"Grae Kessinger","R"
"Heston Kjerstad","L"
"David Langer","R"
"Justin Lasko","R"
"Casey Legumina","R"
"Lyle Lin","R"
"Jake Mackenzie","R"
"Kyle Martin","R"
"Michael McAvene","R"
"Sam Messina","R"
"Nick Morreale","R"
"Chase Murray","L"
"Danny Oriente","R"
"Zachary Peek","R"
"Thaddeus Phillips","R"
"Austin Pope","R"
"Anthony Prato","R"
"Mike Ruff","R"
"Harrison Rutkowski","R"
"Andrew Saalfrank","L"
"Jamie Sara","R"
"Oscar Serratos","R"
"Tyle Shedler-McAvoy","R"
"Bodie Sheehan","L"
"Braden Shewmake","L"
"William Simoneit","R"
"Jared Triolo","R"
"Trey Van Der Weide","S"
"Jacob Wallace","R"
"Benjamin Wereski","L"
"Alika Williams","R"
"Gavin Williams","L"
"Connor Wollersheim","L"
"James Acuna","R"
"Ray Alejo","R"
"Justin Ammons","L"
"Darren Baker","L"
"Darren Baker","L"
"Brady Basso","R"
"Randy Bednar","R"
"Carter Bins","R"
"Hunter Bishop","L"
"John Cain","L"
"Kyle Cameron","R"
"Dominic Canzone","L"
"Brett Centracchio","L"
"Carson Coleman","R"
"Jeff Criswell","R"
"Reid Detmers","L"
"Joseph Donovan","R"
"Benjamin Dragani","L"
"Cameron Eden","R"
"Evan Flynn","R"
"Jesse Franklin","L"
"Ike Freeman","R"
"Conor Grammes","R"
"Owen Griffith","R"
"Jacob Hennessy","L"
"Ryan Hogan","R"
"Jeremy Houston","R"
"Chance Hroch","R"
"Jarrod Huber","R"
"Zach Linginfelter","L"
"Austin Lively","L"
"Seth Lonsway","L"
"Chris Machamer","R"
"Allbry Major","S"
"Connor Manous","R"
"Brandon Martorano","R"
"Michael Massey","L"
"Conor McNamara","R"
"Morgan McSweeney","R"
"Jared Melone","R"
"Bobby Miller","R"
"Christian Molfetta","R"
"Chris Murphy","L"
"Jack Owen","L"
"Ashton Raines","R"
"Hernen Sardinas","L"
"Zach Schneider","R"
"Andrew Schultz","R"
"Randy Taveras","R"
"Steven Theetge","R"
"Ryan Thompson","R"
"Zack Thompson","L"
"Johnny Tuccillo","R"
"Brayden Weyer","R"
"Brandon Wilkes","R"
"Taylor Williams","R"
"Paul Witt","R"
"Gage Workman","S"
"Christopher Wright","L"
"Brandon Wulff","R"
"Jorge Arenas","R"
"Jeff Belge","L"
"Austin Bergner","R"
"Cody Bradford","L"
"Michael Busch","L"
"Jack Conlon","R"
"Asher Cook","R"
"CJ Dandeneau","R"
"Davis Daniel","R"
"Tristin English","R"
"Adam Fogel","R"
"RJ Freure","R"
"Branden Fryman","R"
"Hunter Gaddis","R"
"Dan Hammer","R"
"Cole Heavilin","R"
"Kyle Hurt","R"
"Cam Jabara","R"
"Greg Jones","S"
"Nick Kahle","R"
"Zach King","L"
"Michael Kirian","R"
"Shea Langeliers","R"
"Joseph Lowder","L"
"Alek Manoah","R"
"Reeves Martin","L"
"Kyle McCann","L"
"Ashton McGee","L"
"John McMillon","L"
"Drew Mendoza","L"
"Andrew Miller","L"
"Troy Miller","R"
"Colby Morris","R"
"Zack Noll","R"
"Neil Pallante","R"
"Colin Peluse","R"
"Ben Ramirez","L"
"John Rave","L"
"Brock Riley","R"
"Blake Sabol","L"
"Nick Scheidler","R"
"Colin Simpson","L"
"Jake Snider","L"
"Jake Taylor","R"
"Rylan Thomas","R"
"Spencer Torkelson","R"
"Dan Valerio","R"
"Spencer Van Scoyoc","L"
"Gregory Veliz","L"
"Benny Wanger","L"
"Jackson Wark","L"
"Austin Wilhite","R"
"Rankin Woley","R"
"Andrew Baker","L"
"John Baker","R"
"Zachary Biermann","L"
"Bryce Bonnin","R"
"Joe Boyle","R"
"Hunter Brown","R"
"Beau Brundage","L"
"Peyton Burdick","R"
"Raphael Chaumette","L"
"Luke Chevalier","R"
"Zane Collins","R"
"Wil Dalton","R"
"Jake Dexter","R"
"Thomas Dillard","S"
"Duke Ellis","L"
"Nic Enright","R"
"Mathieu Gauthier","R"
"Garrett Gayle","R"
"Keagan Gillies","R"
"Jakob Goldfarb","L"
"Nick Gonzales","R"
"Trey Holland","L"
"Zach Humphreys","R"
"Trey Jacobs","L"
"Bryce Jarvis","R"
"Eric Jones","R"
"Corey Joyce","R"
"Kyle Kemp","R"
"Ryan Lefner","R"
"ChristopherP Lincoln","R"
"Matt McCourt","R"
"Morgan McCullough","L"
"Jordan McFarland","R"
"Griffin McLarty","L"
"Deacon Medders","R"
"Addison Moss","R"
"Shane Muntz","R"
"Adam Oviedo","R"
"Rey Pastrana","R"
"Jason Reynolds","R"
"Ryan Reynolds","S"
"Jonathan Robertson","L"
"Henry Ryan","R"
"Michael Salvatore","R"
"Stephen Schoch","R"
"Seth Shuman","R"
"Andrew Smith","R"
"Brady Smith","R"
"Ryan Smith","R"
"Ted Stuka","R"
"Michael Toglia","S"
"Anthony Veneziano","L"
"Joseph Walsh","L"
"Keaton Weisz","R"
"Colby White","R"
"Garrett Wolforth","S"
"Cory Wood","L"
"Michael Young","R"
"Michael Young","R"
"AJ Block","L"
"Will Brennan","L"
"Jordan Butler","L"
"Cameron Cannon","R"
"Matthew Canterino","R"
"Hayden Cantrelle","S"
"Marc Coffers","R"
"James Cosentino","L"
"Cal Coughlin","S"
"Jordan Cox","R"
"Declan Cronin","R"
"Logan Davidson","S"
"Tyler Dyson","R"
"William Ethridge","R"
"Logan Foster","R"
"Nic Gaddis","R"
"Peyton Glavine","R"
"Pete Hamot","R"
"Maverick Handley","R"
"Herbert Iser","L"
"Edouard Julien","L"
"Brent Killam","L"
"Ian Koch","R"
"Owen Lamon","R"
"Austin Langworthy","L"
"Adam Laskey","R"
"Jack Little","L"
"Austin Masel","L"
"Patrick McGowan","L"
"Daniel Metzdorf","L"
"Nick Mikolajchak","R"
"Mitchell Miller","L"
"Terence Norman","R"
"Scott Politz","R"
"Logan Rinehart","R"
"CJ Schaeffer","R"
"Tommy Sheehan","L"
"TJ Sikkema","L"
"Davis Sims","R"
"Carson Spiers","R"
"Mitchell Stone","L"
"Kyle Stowers","L"
"Spencer Strider","R"
"Zach Stromberg","L"
"Matt Trehub","L"
"Alexander Volpi","R"
"Matt Wallner","L"
"Taylor Wilkes","R"
"Steven Williams","L"
"RJ Yeager","R"
"Jake Agnos","L"
"Justin Ammons","L"
"Tyler Baum","R"
"Michael Bienlien","R"
"Peter Bovenzi","R"
"Jacob Bradley","R"
"Kyle Brnovich","L"
"Ty Buckner","R"
"Mitch Calandra","R"
"Danny Casals","R"
"Jon Clines","L"
"Matt Cronin","L"
"Xzavion Curry","R"
"Ricky DeVito","S"
"Brad Debo","L"
"Brian Dempsey","R"
"Jack Dreyer","R"
"Logan Driscoll","L"
"Nate Eikhoff","L"
"Rob Emery","R"
"Caleb Freeman","R"
"Chris Galland","R"
"Ramon Garza","R"
"Ray Gil","R"
"Gage Gillian","R"
"Jackson Gillis","R"
"Matt Gorski","R"
"Jordan Greene","R"
"Zack Hess","R"
"George Kirby","R"
"Cal Krueger","R"
"Joe La Sorsa","L"
"Andre Lipcius","R"
"Will Matthiessen","R"
