"","Team","Bats","homeHRs","roadHRs","hPAs","rPAs","ParkFactorHR","adjustment","adjParkFactorHR"
"1","BOURNE BRAVES","L",11,31,2082,2026,0.345294536890707,1.03384313750617,36
"2","BOURNE BRAVES","R",41,60,3649,3569,0.668352059925094,1.01686200954022,68
"3","BREWSTER WHITECAPS","L",24,29,1953,2016,0.854282536151279,1.00733934674211,86
"4","BREWSTER WHITECAPS","R",66,65,3546,3515,1.00650787452818,0.999674712120226,101
"5","CHATHAM ANGLERS","L",43,24,2009,2075,1.85052679608429,0.959208378550703,178
"6","CHATHAM ANGLERS","R",57,55,3358,3169,0.978033461475987,1.00109953457463,98
"7","COTUIT KETTLEERS","L",28,35,2236,2400,0.858676207513417,1.00711647599315,86
"8","COTUIT KETTLEERS","R",62,50,2771,2824,1.26371706964995,0.986985750504535,125
"9","FALMOUTH COMMODORES","L",34,38,2192,2452,1.00086438724549,0.999956782505558,100
"10","FALMOUTH COMMODORES","R",59,48,2618,2619,1.22963617265088,0.988648526810317,122
"11","HARWICH MARINERS","L",23,32,1861,1781,0.687852632993014,1.01585482037202,70
"12","HARWICH MARINERS","R",30,56,3125,3423,0.5868,1.02109584005555,60
"13","HYANNIS HARBOR HAWKS","L",38,24,2117,2008,1.50181073846638,0.975523589361555,147
"14","HYANNIS HARBOR HAWKS","R",45,43,2982,2827,0.99211548359927,1.00039438129533,99
"15","ORLEANS FIREBIRDS","L",21,30,1985,1879,0.662619647355164,1.0171584640651,67
"16","ORLEANS FIREBIRDS","R",61,66,3186,3323,0.963985428674694,1.00180397703925,97
"17","WAREHAM GATEMEN","L",25,25,2310,2224,0.962770562770563,1.00186494340114,96
"18","WAREHAM GATEMEN","R",23,38,2504,2337,0.564896166134185,1.02223900552148,58
"19","YARMOUTH-DENNIS RED SOX","L",42,21,1691,1575,1.86280307510349,0.958643952492985,179
"20","YARMOUTH-DENNIS RED SOX","R",77,40,3599,3732,1.99613781606002,0.952556140334625,190
